name,long,lat,address,nb_items,equipment,id,url,facilities,about
Craigavon Park,174.691493793203,-36.9280881285016,"82 Kinross Street, Auckland",14,Fitness Station Chin Ups<br>Fitness Station-Dog Agility Course<br>Fitness Station-Monkey Bars<br>Fitness Station-Push Ups<br>Fitness Station-Side Jumps<br>Fitness Station-Side Vaults<br>Fitness Station-Sit Ups<br>Fitness Station-Step Ups<br>Fitness Station-Weaving Poles<br>Double Bay Swings<br>Modern Modular Jnr<br>Modern Modular Lge<br>Spinner<br>Springer,10431,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=430,"The park caters for a range of informal recreational activities. A large grassed area on the western side contains a playground, barbecue and car park. Several tall tree specimens, mainly pine, are also dotted throughout this area.","Craigavon Park is bordered by Portage Road, Connell Street, Connaught Street and Kinross Street. It contains a diverse landscape that can be divided into approximately two-thirds regenerating native forest and one-third grassland. Its topography is flat to easy grade with the highest points located on the park boundaries."
Cranston Street Reserve,174.734812213972,-36.7063799639681,"32 Cranston Street, Auckland",2,Module-Medium-Jnr<br>Springy-4 seat,22125,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10609,playground,Local Park - Leisure
Cron Reserve,174.647899700377,-36.8845773775122,"24 Tirimoana Road, Auckland",3,Modern Modular<br>Spica<br>Swing Double,22502,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10619,playground,Local Park - Leisure
Cross Street Reserve,174.959683257986,-37.0579073598311,"5R Cross Street, Auckland",3,Spinner mice<br>Twister ring<br>Vertical ladder,20294,,,
Crossfield Reserve,174.867227488229,-36.8643346389177,"83 Crossfield Road, Auckland",2,Module<br>Module<br>Swings,10408,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=435,"Playground, boardwalk, drinking fountain, bike stands, toilets.",Huge sportspark catering to many recreational activities such as league and rugby in winter to baseball and softball in summer. The Glendowie Community Hall is adjacent to the park.
Crown Park,174.879785073266,-36.9651365319101,"45R Cobham Crescent, Auckland",3,Modern Modular (Large)<br>Spring Saw<br>Swing,20298,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10623,playground,Local Park - Leisure
Crum Park,174.666229374636,-36.9276906942211,"Hilling Street, Auckland",4,Fort/Slide<br>Modern Modular<br>Single Seesaw<br>Swing Double<br>Swing Double,22482,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10626,"playground, toilets",A large open space surrounded by lush Waitakere bush.
Cutler Reserve,174.68458531621,-36.9226750683,"15 Cutler Street, Auckland",1,Swing Triple,22484,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10631,playground,Local Park - Leisure
Cyril French Park,174.912000755537,-36.9534781459691,"6R Baverstock Road, Auckland",1,Senior module,20247,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10635,playground,Esplanade
D'Oyly/Stanmore Bay Weir Reserve,174.732418223202,-36.6245853675359,"63 Charlotte Street, Auckland",5,Module-Large<br>Seesaw-Spring<br>Spinner pole<br>Spinner<br>Swing,22406,,,
Da Vinci Park,174.638295770487,-36.8211366645644,"14A Da Vinci Place, Auckland",5,Balance Logs<br>Slide<br>Spinner bowl<br>Supernova<br>Swing,22489,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10636,playground,Local Park - Leisure
Dallas Reserve,174.716295231617,-36.9112763730094,"4 Dallas Place, Auckland",4,Modern Modular<br>Seesaw<br>Swing Quad<br>Tube Slide,21673,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=440,Playground,Local green open space.
Dalmatia Green,174.626575213289,-36.8988807358479,"7 Chislehurst Street, Auckland",2,Modern Modular<br>Swing Double,22487,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10644,playground,Local Park - Leisure
David Lange Park,174.800435848596,-36.9680853798407,"98R Bader Drive, Auckland",10,Ab Board Adjacent To Playground<br>Cross Trainer Adjacent To Playground<br>Dip Bar Adjacent To Playground<br>Modern Modular (Small)<br>Modern Modular (Small)<br>Spinning Cup<br>Spring Saw<br>Swing<br>Swing<br>Bay swing unit<br>Rider<br>Shoulder Press,10751,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10650,"playground, toilets",Local Park - Sport
David Nathan Park,174.902787002168,-37.0150807736754,"68R Hill Road, Manukau",1,Modern Modular (Large),10629,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10651,,Heritage/Historical Significance
Delphine Park,174.725101324522,-36.8959348157921,"6A Delphine Close, Auckland",2,Cube<br>Swing,20877,,,
Derrimore Park,174.891853569012,-36.988645384237,"6R Derrimore Heights, Auckland",3,Open Tile<br>Modern modular (large)<br>Swing unit,20233,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10676,playground,Local Park - Leisure
Devonport Domain,174.806878772219,-36.8278805614172,"52 King Edward Parade, Auckland",5,Fort & tunnel slide<br>Seesaw spinner<br>Seesaw<br>Seesaw-Spring<br>Swing,10998,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10677,"playground, toilets",Premier Park - Sport
Devonshire Reserve,174.724224499997,-36.7554153672215,"6 Devonshire Road, Auckland",5,Overhead-Monkey Bars<br>Overhead-Multiple<br>Seesaw<br>Slide<br>Swing,22208,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10678,playground,Local Park - Leisure
Dickey Reserve,174.714543783592,-36.9056163087442,"19 Dickey Street, Auckland",7,Climbing Frame<br>Modern Modular<br>Single Seesaw<br>Spinner<br>Springy Animal<br>Springy Tractor<br>Swing Triple,21644,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=460,Playground,Local green open space.
Don Buck Corner,174.608852210083,-36.8585329311847,"Glen Road, Auckland",4,Lullaby Swing<br>Modern Modular<br>Modern Modular<br>Spinner<br>Spinner<br>Swing Double,22495,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10686,playground,Local Park - Leisure
Durbin Reserve,174.683103348506,-36.7733702736169,"27 Durbin Court, Auckland",3,Monkey Bars<br>Slide<br>Swing,22211,,,
Durham Green,174.653409385654,-36.8366842201304,"12 Roby Street, Auckland",2,Modern Modular<br>Swing Double,11368,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10717,playground,Local Park - Leisure
East Tamaki Reserve,174.88735853284,-36.9596282302436,"244R East Tamaki Road, Auckland",5,Modern Modular (Large)<br>Rolling Log<br>Slide<br>Swing<br>Track Glide,10691,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10722,"playground, toilets",Local Park - Sport
Eastdale Reserve,174.688549448395,-36.8863711334285,"33 Eastdale Road, Auckland",7,Fitness Station Air Walker Dip & Crunch<br>Fitness Station Chin Up Step Up<br>Fitness Station-Situp Leg Press<br>Fitness Station-Twister<br>Modern Modular<br>Single Seesaw<br>Swing Double,10107,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=480,"Barbecue, tables, playground, toilets.",Sports Park
Edenvale Park,174.755926286905,-36.8706140147153,"9 Edenvale Park Road, Auckland",4,Module<br>Module - Green Slide<br>Stepping logs<br>Swing<br>Swing,21145,,,
Edith Hopper Park,174.753411440226,-36.6345693788841,"34B Ladies Mile, Auckland",2,Module-Medium<br>Swing<br>Swing,11296,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10734,playground,
Ellerslie Domain,174.81333687958,-36.8985295732262,"182 Main Highway, Auckland",4,Climbing wall<br>Seesaw<br>Slide<br>Swing,10056,,,
Elliott Reserve,174.716905339708,-36.7730056759975,"34 Elliott Avenue, Auckland",4,Module-Large<br>Seesaw<br>Swing<br>Tossup Hoop,11095,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10742,playground,Local Park - Leisure
Elstree North Reserve,174.867776322535,-36.874283497905,"134 Leybourne Circle, Auckland",3,Module<br>Supernova<br>Swing,10197,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=505,Playground,Local green open space.
Emerald Valley Park,174.606271434603,-36.8389785342438,"Killygordon Place, Auckland",4,Double Swing<br>Luna Spinner<br>Modern Modular<br>Modern Modular<br>Seesaw,21220,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10748,playground,Emerald Valley Park is a quiet neighbourhood park with plenty of space to spread out.
Epping Esplanade,174.635496110049,-36.8685669231745,"Epping Road, Auckland",2,Modern Modular<br>Swing Double,21226,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10752,playground,Premier Park - Leisure
Eric Armishaw Park,174.697650798448,-36.8692169825745,"117 Walker Road, Auckland",3,Module<br>Springy seesaw<br>Swings,10321,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=520,"Playground, toilets.",Coastal/beach - windsurfing.
Essex Road Reserve,174.76134754728201,-36.8821150128759,"3 Ngauruhoe Street, Auckland",3,Module<br>Seesaw<br>Swings,21153,,,
Everard Reserve,174.803834229438,-36.6048074343995,"16A Shakespear Road, Auckland",2,Module-Medium<br>Seesaw-Spring,21045,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10765,playground,
Excelsior Way Reserve,174.776687817215,-36.3278393162164,"4 May Way, Omaha",1,Module-Medium,22264,,,
Exeter Reserve,174.722212604203,-36.7563092756227,"3 Exeter Place, Auckland",2,Slide<br>Swing,22223,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10772,playground,Natural
Fairburn Reserve,174.840460325771,-36.9447361438577,"28-34 Mason Avenue, Auckland Central",11,Climbing frame<br>Hammock<br>Slide<br>Spinner<br>Spinner cup<br>Stepping pods<br>Swing set<br>Trampolines<br>Tube shape climbers<br>Twirler Spinner<br>Water play,10167,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=540,Playground,Local green open space.
Fairdene Reserve,174.625844369525,-36.8647372820327,"25 Fairdene Avenue, Auckland",4,Modern Modular<br>Spica<br>Springy Animal<br>Swing Triple,11367,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12004,playground,Local Park - Leisure
Fairlands Reserve,174.695831737926,-36.8831119924266,"43 Seaside Avenue, Auckland",2,Slide<br>Swing,21379,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=545,Playground,Local green open space.
Fearon Park,174.745903110496,-36.9031952101671,"21A Fearon Avenue, Auckland",6,Fantail roundabout<br>Module<br>Seesaw<br>Slide<br>Swing<br>Tower,10198,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=555,The reserve is flat and accommodates two floodlit rugby fields in winter and three softball diamonds in summer. A concrete block building incorporating changing rooms and toilets stands midway along the western boundary of the reserve.,"Fearon Park lies between Keystone Avenue and Fearon Avenue. The south western corner of the reserve adjoins Harold Long Reserve. Further west the reserve adjoins the Mt Roskill Rugby Football Club clubrooms. Adjoining the southern boundary of the reserve is a car park for 120 cars, predominantly on land owned by the Rugby Club and partially on street reserve."
Featherstone Park,174.621048770882,-36.8710955630196,"59 Swanson Road, Auckland",2,Modern Modular<br>Swing Double,21245,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12019,playground,Local Park - Leisure
Fergusson Domain,174.799238217225,-36.911015671427,"5 Olea Road, Auckland",4,Module<br>spica<br>Spica<br>Swing,10269,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=565,"Natural rock outcrops occur in places in the western and southern parts of the reserve, with a large rocky outcrop adjacent to Melville Place being a particularly significant landscape feature. Playing fields, tennis and volleyball courts, scouts clubrooms, and caretaker’s maintenance depot, athletic and harriers clubrooms, parking area and children’s playground, have been developed on the level land.","Fergusson Domain is a large, multi-purpose reserve of more than six hectares, and lies in a predominantly residential area, bounded by Oranga Avenue, Waitangi Road, Roosevelt Avenue and Namata Road. It is an irregularly shaped site with a large level area on the eastern side and a series of higher terraces rising towards the western side."
Fergusson Oaks Reserve,174.89475694828,-36.975893119855,"102R Dawson Road, Auckland",2,Modern modular (large)<br>Swing unit,10623,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12026,playground,Local Park - Leisure
Ferngrove Park,174.604945148108,-36.8701964521366,"1 Ferngrove Avenue, Auckland",2,Modern Modular<br>Swing Double,21704,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12032,playground,Local Park - Leisure
Fernhill Reserve,174.717143007358,-36.7181765854766,"4 Candlestick Place, Auckland",4,Module-Small<br>Module-Small-Navigator<br>Springy<br>Springy<br>Swing snr,22229,,,
Fernwood Grove,174.717329997101,-36.7704098619656,"2 Fernwood Grove, Auckland",2,Module-Medium<br>Swing Jnr,22275,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12035,playground,Local Park - Leisure
Ferry Rd/ Hawaiian Pde Junction,174.740940508791,-36.6439264564096,"Ferry Road, Auckland",6,Climber<br>Seesaw<br>Spinner pole<br>Spinner<br>Swing keyhole Jnr<br>Swing Snr,22604,,,
Fields Reserve,174.723218055661,-36.7136361895899,"3 Fields Parade, Auckland",2,Module-Medium<br>Swing,22235,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12041,playground,Local Park - Leisure
Flat Rock Reserve,174.854213600712,-36.9287368705528,"416A Panama Road, Auckland",4,Artificial turf mound<br>Lunar Spinner<br>Module<br>Swings,21523,,,
Flaunty Reserve,174.622521862597,-36.8206106554846,"24 Flaunty Place, Auckland",1,Double Slide,21295,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12054,playground,Local Park - Leisure
Fong Reserve,174.798666923115,-36.9159924865412,"Captain Springs Road, Auckland",2,Module<br>Swing,23103,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=600,Playground,Very small local green.
Fonteyn Reserve,174.68109558869,-36.8879066140291,"81 Fonteyn Street, Auckland",3,Modern Modular<br>Seesaw<br>Swing Double,21660,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=605,"Playground, tables",Local green open space.
Foothills Lane Reserve,174.634525545384,-36.9245002419661,"7 Foothills Lane, Auckland",2,Modern Modular<br>Swing Double,22010,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12059,playground,Local Park - Leisure
Fowlds Park,174.727564574194,-36.8733957415697,"50 Western Springs Road, Auckland",4,Fitness Station<br>Fitness Station<br>Fitness Station<br>Fitness Station<br>Fitness Station<br>Fitness Station<br>Fitness Station<br>Fitness Station<br>Fitness Station<br>Fitness Station<br>Module<br>Seesaw<br>Swings,10394,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=610,The park drops from its highest point on Western Springs Road down a bank covered by mature gum trees to the main park driveway. The land drops again on the southern side of the driveway down a planted and landscaped bank to playing fields and clubrooms with car parking.,"Fowlds Park is bounded to the north by Western Springs Road, to the west by Malvern Road, and to the south and east by residential properties in Brewster Avenue, Malvern Road, Rocky Nook Avenue, Parkhill Road and Wolseley Street."
Francis Reserve,174.728994869209,-36.859441512511,"4 Warnock Street, Auckland Central",3,Dolphin rocker<br>Module Junior<br>Swings,10000,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=615,"Playground, pergola",Local green open space.
Freemans Bay Community Centre,174.751146749151,-36.8528440578697,"52 Hepburn Street, Auckland",1,Small module,10274,,,
Gallony Park,174.604657799362,-36.8404096911872,"18 Gallony Avenue, Auckland",2,Modern Modular<br>Swing Double,21281,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12095,playground,Local Park - Leisure
George Deane Place Reserve,174.690353030023,-36.7635909344716,"36 George Deane Place, Auckland",2,Slide<br>Swing,22324,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12108,playground,Local Park - Leisure
Gilshennan Reserve,174.703580238824,-36.6070830998574,"35 Gilshennan Valley, Auckland",3,Module-Medium-Jnr<br>Seesaw-Spring<br>Swing mega,20569,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12117,playground,
Gladstone Park,174.785270442228,-36.8495093238652,"108 Gladstone Road, Auckland",9,Horn<br>Large module<br>Overhead climber<br>Slide tower<br>Small module<br>Springy car<br>Springy seesaw<br>Springy seesaw<br>Swing<br>Swing<br>Track glide,10037,,,
Glen Bay Close Reserve,174.726486487796,-36.7322619567166,"114 Hugh Green Drive, Auckland",2,Spacenet<br>Swing keyhole Jnr,22286,,,
Glen Norman Reserve,174.622344413439,-36.8644535797833,"93 Rathgar Road, Auckland",2,Modern Modular<br>Swing Double,11381,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12124,playground,Local Park - Leisure
Glenbrook Beach Beachfront,174.711849108546,-37.1623594587168,"Beach Road, Auckland",1,Modern modular,20660,,,
Glendene Reserve,174.650436078232,-36.8894484069713,"34 Glendene Avenue, Auckland",5,Bell Tower<br>Hip Hop<br>Modern Modular Juni<br>Regulus Climbing<br>Swing Double,21116,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12130,playground,Natural
Glover Park,174.866245442001,-36.8476407226387,"32 Glover Road, Auckland",2,Large module<br>Swing T bar,10218,,,
Gooseberry Flat,175.490477089153,-36.3058829526055,"418 Shoal Bay Road, Auckland",2,Module - senior<br>Swing,20795,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=695,Playground,Lovely coastal reserve in Tryphena Bay.
Green Bay Domain,174.683516050945,-36.9316336862643,"23 Cliff View Drive, Auckland",2,Modern Modular<br>Swing Double,21136,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12180,"playground, toilets",Local Park - Sport
Greenhithe War Memorial Park,174.670483747539,-36.7719974827749,"10 Roland Road, Auckland",2,Module-Small-Preschool<br>Swing,10935,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12189,"playground, toilets",Local Park - Sport
Greenslade Reserve,174.743766410064,-36.8002173772694,"1 Greenslade Crescent, North Shore",1,GymGuru<br>GymGuru<br>GymGuru<br>GymGuru<br>GymGuru,20078,,,
Greville Reserve,174.751534745055,-36.7576912187247,"253 Forest Hill Road, Auckland",1,Spinner,20054,,,
Grey Lynn Park,174.737427414074,-36.8583876838283,"69-71 Williamson Avenue, Auckland Central",9,Double skate unit<br>Fantail roundabout<br>Fitness Station<br>Fitness Station<br>Fitness Station<br>Flying Fox<br>Large module<br>Seesaw<br>Spica twirl about<br>Swing<br>Vaga spinner,10155,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=720,"The park consists mainly of playing fields of mown grass, with trees around the edges and some wilderness areas in the eastern side valleys. It also has a scupltural display of nine works by local artists. There is an interesting and varied sculpture collection on the eastern side of the park close to the Rose Road entrance.","Grey Lynn Park covers approximately 10.5ha and is centrally situated in the residential area of Grey Lynn, west of Auckland city. The park has mostly been developed as an active recreational area. It is regularly used as the venue for the Grey Lynn Festival."
Gribblehirst Park,174.738780246424,-36.8796892010981,"225 Sandringham Road, Auckland",5,Climbing module<br>Flying Fox<br>Play Boards<br>Play Boards<br>Sky Surfer<br>Slide,10389,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=725,"Tables, playground, toilets.","Sports park set in attractive surroundings including mature trees and rose gardens. Home to rugby, bowling green/club. Petanque terrain and a variety of other open spaces."
Griffin Reserve,174.776670284168,-36.8867549439787,"13 Griffin Avenue, Auckland",4,Climbing net<br>Module<br>Play house<br>Swing,10416,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=730,"Playground, table",Griffin Reserve is an area of green open space with peripheral landscaping featuring specimen trees. It is used by the local community for informal recreation. It also fulfils the open space requirements of the Scout and Ranger Halls located on the reserve.
Growers Stadium & Stadium No. 2,174.907322401964,-37.1966553085178,"Franklin Road, Auckland",4,Chin up bar<br>Tricep dip bars<br>Climbing Frame<br>Climbing Frame<br>Toss Up,20776,,,
Gulf Harbour Recreation Reserve,174.790440091143,-36.6134087207158,"R 40 Gulf Harbour Drive, Auckland",2,Module-Medium<br>Swing,20468,,,
Gus Nola Park,174.610697901464,-36.8805940756563,"Summerland Drive, Auckland",5,Fort/Slide<br>Modern Modular<br>Playground Track<br>Springy Animal<br>Swing Double,21792,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12208,playground,Local Park - Leisure
Hamilton Estate Recreation Reserve,174.739806563164,-37.2438497765016,"10 Huia Street, Auckland",5,Allsafe tiles<br>Arch Climber<br>Basket swing<br>Macrocarpa stepping logs<br>Modular senior,10520,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12222,playground,Local Park - Leisure
Hanford Place Foreshore,174.859735572318,-37.0203356558361,"24R Hanford Place, Auckland",4,Modern Modular (Large)<br>Swing<br>Mini dome spinner<br>Sprial net climber,20833,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12226,playground,Esplanade
Harania/Marys Foreshore Reserve,174.809349178977,-36.9524097110417,"38R Harania Avenue, Auckland",5,Bounce buggy<br>Climbing frame<br>Swing unit<br>Twirler spinner<br>Wave slide,20760,,,
Harbutt Reserve,174.705718727159,-36.8879199713547,"39 Harbutt Avenue, Auckland",3,Fantail roundabout<br>Module<br>Swing T bar,21077,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12236,playground,
Harbutt Reserve,174.705718727159,-36.8879199713547,"39 Harbutt Avenue, Auckland",3,Fantail roundabout<br>Module<br>Swing T bar,21077,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=780,Playground,Local green open space.
Hardley Reserve,174.770582881603,-36.6209543538184,"6 Hardley Avenue, Tindalls Beach",3,Module-Medium<br>Seesaw-Spring<br>Swing mega,22401,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12237,"playground, toilets",
Harold Moody Reserve,174.648697435481,-36.9122141556445,"40 Glendale Road, Auckland",2,Modern Modular<br>Swing Double,11469,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12239,"playground, toilets","Intersected by the Waikumete stream, the two parks are popular with joggers and softball players but the many other options include flying a kite, walking the dog or bringing the kids for an afternoon on the playground."
Harry James Reserve,174.552775515333,-36.8200430608053,"Taupaki Road, Auckland",4,Module-Medium<br>Spinner<br>Springy car<br>Swing,11298,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12243,"playground, toilets",
Hart Domain,174.634349846553,-36.8845424445284,"Vitasovich Avenue, Auckland",2,Modern Modular<br>Modern Modular<br>Swing Quad,21167,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12244,playground,Local Park - Leisure
Harwood Reserve,174.73812248124,-36.8948839918404,"21A Kiwitea Street, Auckland",4,Slide<br>Springy animal<br>Springy animal<br>Springy sesaw<br>Swing,21157,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=790,Playground,Local green open space.
Heard Park,174.780191876418,-36.8543553510603,"186 Parnell Road, Auckland",1,Swing,10012,,,
Heath Reserve,174.756239109845,-36.8070904794967,"140 Exmouth Road, Auckland",3,Module-Small<br>Seesaw<br>Swing,22107,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12263,playground,Local Park - Leisure
Helensville Civic Centre Grounds,174.451556034193,-36.6764285775207,"49 Commercial Road, Auckland",3,Module-Medium<br>Swing snr<br>Swing T bar Jnr,22398,,,
Henderson Park - Henderson,174.626972219852,-36.8793125412579,"41 Wilsher Crescent, Auckland",1,Fitness Station<br>Fitness Station<br>Fitness Station,11393,,,
Henderson Valley Park,174.616613596472,-36.8952743417402,"Henderson Valley Road, Auckland",6,Modern Modular<br>Single Seesaw<br>Spiral Net Climber<br>Springy Animal<br>Supernova<br>Swing Double,11391,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12278,"playground, toilets",Premier Park - Leisure
Hendrika Court,174.638505722579,-36.8066020768863,"22 Hendrika Court, Auckland",2,Module-Large<br>Swing,21979,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12280,playground,Local Park - Leisure
Henry Reserve,174.697964856533,-36.8914532298898,"11 Henry Street, Auckland",4,Basket Swing<br>Modern Modular Med<br>Spinner<br>Swing Double,21692,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=805,Playground,Local green open space.
Herald Island Domain,174.656256349723,-36.7796265556094,"44 Ferry Parade, Auckland",4,Module medium (senior)<br>Module-Small-Jnr<br>Sandpit<br>Swing,11392,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12284,"playground, toilets",Local Park - Leisure
Heron Park,174.69892322655,-36.8860173801969,"1625-162 Great North Road, Auckland Central",6,Climbing net<br>Cup spinner<br>Flying Fox<br>Junior Swing<br>Slide<br>Slide<br>Supernova,10048,,,
Highgrove Reserve,174.729347281485,-36.7560168209184,"15 Highgrove Lane, Auckland",1,Module-Medium,20838,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12298,playground,Local Park - Leisure
Hinau Reserve,174.680778003282,-36.920404318367,"Hinau Street, Auckland",1,Swing Double,21097,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12313,playground,Local Park - Leisure
Hindmarsh Green,174.623663094631,-36.8952605063916,"25 Hindmarsh Street, Auckland",6,Fort/Slide<br>Modern Modular<br>Playground Track<br>Spinner<br>Stepping Pod<br>Swing Double,20892,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12314,playground,Local Park - Leisure
Hinemoa Park,174.7346646793,-36.8220610810941,"1 Hinemoa Street, Auckland",6,Climber<br>Seesaw-Hip Hop Seasaw<br>Slide<br>Spinner<br>Swing<br>Swing keyhole Jnr,11104,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12315,"BBQ,playground, toilets",Local Park - Coastal
Hobson Reserve,174.859154904159,-36.8927364060909,"43 Court Crescent, Auckland",4,Small module<br>Spica<br>Springy animal<br>Swing T bar,21322,,,
Hobsonville Point Park,174.660205886626,-36.7916493853413,"Buckley Avenue, Auckland",14,Balance beam<br>Bridge<br>Climber<br>Module-Small-Jnr<br>Sculpture<br>Sculpture-5 seeds<br>Sculpture-Climbing Pods<br>Sculpture-Kowhai seed<br>Sculpture<br>Sculpture<br>Sculpture-Nikau seed<br>Sculpture-Pigeonwood seed<br>Slide<br>Spinner bowl<br>Spinner bowl<br>Stepping logs<br>Swing,21368,,,
Hobsonville War Memorial,174.649295184269,-36.7971476246214,"Hobsonville Road, Auckland",3,Module-Large<br>Swing<br>Swing snr,11390,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=12323,"playground, toilets",Local Park - Sport
Home Reserve,174.746565502513,-36.8663229826875,"19 King Street, Auckland",2,Module Small<br>Springy Animal,21408,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=875,Playground,Small Local green open space.
